,price_in_crores,price_per_sqft,floorNum,property_type,noOfFloor,SuperBuiltupArea_sqft,BuiltupArea_sqft,CarpetArea_sqft,servantRoom,studyRoom,poojaRoom,storeRoom,otherAdditionalRoom,luxury_class
301,1.25,6459.0,10.0,1,1.0,1703.0,1650.0,1600.0,False,False,False,False,True,2
302,1.75,8883.0,12.0,1,1.0,1970.0,,,False,False,False,False,False,0
303,2.0,9950.0,0.0,1,1.0,2010.0,,,False,False,False,False,False,0
304,2.24,6523.0,12.0,1,1.0,3434.0,,2900.0,True,False,False,False,False,0
305,2.3,6467.0,6.0,1,1.0,,,3555.9653076,False,False,False,False,False,0
306,1.8,9350.0,3.0,1,1.0,,1925.0176644,,False,True,False,False,False,0
307,1.55,8558.0,11.0,1,1.0,1811.0,,,False,False,False,False,False,0
308,1.55,8072.0,10.0,1,1.0,1920.0,,,True,False,False,False,False,0
309,1.75,7608.0,3.0,1,1.0,,,2300.0322888,False,True,True,True,False,1
310,0.89,18658.0,0.0,0,2.0,,4293.0,,False,False,False,False,False,0
311,0.36,5980.0,1.0,1,1.0,602.0,,450.0,False,False,False,False,False,0
312,18.0,39841.0,0.0,0,3.0,,4518.0,,True,False,True,False,True,2
313,0.7,4651.0,12.0,1,1.0,1505.0,,,False,False,False,False,False,0
314,0.85,14166.0,0.0,0,4.0,,5400.0,,False,False,False,False,False,0
315,0.56,7000.0,8.0,1,1.0,,,799.9737911999998,False,False,False,False,False,0
316,1.54,9221.0,15.0,1,1.0,1929.0,1780.0,1670.0,True,False,False,False,False,0
317,1.09,6661.0,5.0,1,1.0,1640.0,1475.0,1350.0,False,False,False,False,False,0
318,3.05,15561.0,3.0,1,1.0,2690.0,2150.0,1960.0,True,False,False,False,False,0
